date,open,high,low,close,volume
2024-01-05,181.99001,182.75999,180.17,181.17999,62303300
2024-01-08,182.09,185.60001,181.5,185.56,59144500
2024-01-09,183.92,185.14999,182.73,185.14,42841800
2024-01-10,184.35001,186.39999,183.92,186.19,46792900
2024-01-11,186.53999,187.05,183.62,185.59,49128400
2024-01-12,186.06,186.74001,185.19,185.92,40444700
2024-01-16,182.16,184.25999,180.92999,183.63,65603000
2024-01-17,181.27,182.92999,180.3,182.67999,47317400
2024-01-18,186.09,189.14,185.83,188.63,78005800
2024-01-19,189.33,191.95,188.82001,191.56,68741000
2024-01-22,192.3,195.33,192.25999,193.89,60133900
2024-01-23,195.02,195.75,193.83,195.17999,42355600
2024-01-24,195.42,196.38,194.34,194.5,53631300
2024-01-25,195.22,196.27,193.11,194.17,54822100
2024-01-26,194.27,194.75999,191.94,192.42,44594000
2024-01-29,192.00999,192.2,189.58,191.73,47145600
2024-01-30,190.94,191.8,187.47,188.03999,55859400
2024-01-31,187.03999,187.10001,184.35001,184.39999,55467800
2024-02-01,183.99001,186.95,183.82001,186.86,64885400
2024-02-02,179.86,187.33,179.25,185.85001,102518000
2024-02-05,188.14999,189.25,185.84,187.67999,69668800
2024-02-06,186.86,189.31,186.77,189.3,43490800
2024-02-07,190.64,191.05,188.61,189.41,53439000
2024-02-08,189.39,189.53999,187.35001,188.32001,40962000
2024-02-09,188.64999,189.99001,188.0,188.85001,45155200
2024-02-12,188.42,188.67,186.78999,187.14999,41781900
2024-02-13,185.77,186.21001,183.50999,185.03999,56529500
2024-02-14,185.32001,185.53,182.44,184.14999,54630500
2024-02-15,183.55,184.49001,181.35001,183.86,65434500
2024-02-16,183.42,184.85001,181.67,182.31,49701400
2024-02-20,181.78999,182.42999,180.0,181.56,53665600
2024-02-21,181.94,182.89,180.66,182.32001,41529700
2024-02-22,183.48,184.96001,182.46001,184.37,52292200
2024-02-23,185.00999,185.03999,182.23,182.52,45119700
2024-02-26,182.24001,182.75999,180.64999,181.16,40867400
2024-02-27,181.10001,183.92,179.56,182.63,54318900
2024-02-28,182.50999,183.12,180.13,181.42,48953900
2024-02-29,181.27,182.57001,179.53,180.75,136682600
2024-03-01,179.55,180.53,177.38,179.66,73488000
2024-03-04,176.14999,176.89999,173.78999,175.10001,81510100
2024-03-05,170.75999,172.03999,169.62,170.12,95132400
2024-03-06,171.06,171.24001,168.67999,169.12,68587700
2024-03-07,169.14999,170.73,168.49001,169.0,71765100
2024-03-08,169.0,173.7,168.94,170.73,76114600
2024-03-11,172.94,174.38,172.05,172.75,60139500
2024-03-12,173.14999,174.03,171.00999,173.23,59825400
2024-03-13,172.77,173.19,170.75999,171.13,52488700
2024-03-14,172.91,174.31,172.05,173.0,72913500
2024-03-15,171.17,172.62,170.28999,172.62,121664700
2024-03-18,175.57001,177.71001,173.52,173.72,75604200
2024-03-19,174.34,176.61,173.03,176.08,55215200
2024-03-20,175.72,178.67,175.09,178.67,53423100
2024-03-21,177.05,177.49001,170.84,171.37,106181300
2024-03-22,171.75999,173.05,170.06,172.28,71106600
2024-03-25,170.57001,171.94,169.45,170.85001,54288300
2024-03-26,170.0,171.42,169.58,169.71001,57388400
2024-03-27,170.41,173.60001,170.11,173.31,60273300
2024-03-28,171.75,172.23,170.50999,171.48,65672700
2024-04-01,171.19,171.25,169.48,170.03,46240500
2024-04-02,169.08,169.34,168.23,168.84,49329500
2024-04-03,168.78999,170.67999,168.58,169.64999,47691700
2024-04-04,170.28999,171.92,168.82001,168.82001,53704400
2024-04-05,169.59,170.39,168.95,169.58,42055200
2024-04-08,169.03,169.2,168.24001,168.45,37425500
2024-04-09,168.7,170.08,168.35001,169.67,42451200
2024-04-10,168.8,169.09,167.11,167.78,49709300
2024-04-11,168.34,175.46001,168.16,175.03999,91070300
2024-04-12,174.25999,178.36,174.21001,176.55,101593300
2024-04-15,175.36,176.63,172.5,172.69,73531800
2024-04-16,171.75,173.75999,168.27,169.38,73711200
2024-04-17,169.61,170.64999,168.0,168.0,50901200
2024-04-18,168.03,168.64,166.55,167.03999,43122900
2024-04-19,166.21001,166.39999,164.08,165.0,67772100
2024-04-22,165.52,167.25999,164.77,165.84,48116400
2024-04-23,165.35001,167.05,164.92,166.89999,49537800
2024-04-24,166.53999,169.3,166.21001,169.02,48251800
2024-04-25,169.53,170.61,168.14999,169.89,50558300
2024-04-26,169.88,171.34,169.17999,169.3,44838400
2024-04-29,173.37,176.03,173.10001,173.5,68169400
2024-04-30,173.33,174.99001,170.0,170.33,65934800
2024-05-01,169.58,172.71001,169.11,169.3,50383100
2024-05-02,172.50999,173.42,170.89,173.03,94214900
2024-05-03,186.64999,187.0,182.66,183.38,163224100
2024-05-06,182.35001,184.2,180.42,181.71001,78569700
2024-05-07,183.45,184.89999,181.32001,182.39999,77305800
2024-05-08,182.85001,183.07001,181.45,182.74001,45057100
2024-05-09,182.56,184.66,182.11,184.57001,48983000
2024-05-10,184.89999,185.09,182.13,183.05,50759500
2024-05-13,185.44,187.10001,184.62,186.28,72044800
2024-05-14,187.50999,188.3,186.28999,187.42999,52393600
2024-05-15,187.91,190.64999,187.37,189.72,70400000
2024-05-16,190.47,191.10001,189.66,189.84,52845200
2024-05-17,189.50999,190.81,189.17999,189.87,41282900
2024-05-20,189.33,191.92,189.00999,191.03999,44361300
2024-05-21,191.09,192.73,190.92,192.35001,42309400
2024-05-22,192.27,192.82001,190.27,190.89999,34648500
2024-05-23,190.98,191.0,186.63,186.88,51005900
2024-05-24,188.82001,190.58,188.03999,189.98,36294600
2024-05-28,191.50999,193.0,189.10001,189.99001,52280100
2024-05-29,189.61,192.25,189.50999,190.28999,53068000
2024-05-30,190.75999,192.17999,190.63,191.28999,49947900
2024-05-31,191.44,192.57001,189.91,192.25,75158300
2024-06-03,192.89999,194.99001,192.52,194.03,50080500
2024-06-04,194.64,195.32001,193.03,194.35001,47471400
2024-06-05,195.39999,196.89999,194.87,195.87,54156800
2024-06-06,195.69,196.5,194.17,194.48,41181800
2024-06-07,194.64999,196.94,194.14,196.89,53103900
2024-06-10,196.89999,197.3,192.14999,193.12,97262100
2024-06-11,193.64999,207.16,193.63,207.14999,172373300
2024-06-12,207.37,220.2,206.89999,213.07001,198134300
2024-06-13,214.74001,216.75,211.60001,214.24001,97862700
2024-06-14,213.85001,215.17,211.3,212.49001,70122700
2024-06-17,213.37,218.95,212.72,216.67,93728300
2024-06-18,217.59,218.63,213.0,214.28999,79943300
2024-06-20,213.92999,214.24001,208.85001,209.67999,86172500
2024-06-21,210.39,211.89,207.11,207.49001,246421400
2024-06-24,207.72,212.7,206.59,208.14,80727000
2024-06-25,209.14999,211.38,208.61,209.07001,56713900
2024-06-26,211.5,214.86,210.64,213.25,66213200
2024-06-27,214.69,215.74001,212.35001,214.10001,49772700
2024-06-28,215.77,216.07001,210.3,210.62,82542700
2024-07-01,212.09,217.50999,211.92,216.75,60402900
2024-07-02,216.14999,220.38,215.10001,220.27,58046200
2024-07-03,220.0,221.55,219.03,221.55,37369800
2024-07-05,221.64999,226.45,221.64999,226.34,60412400
2024-07-08,227.09,227.85001,223.25,227.82001,59085900
2024-07-09,227.92999,229.39999,226.37,228.67999,48076100
2024-07-10,229.3,233.08,229.25,232.98,62627700
2024-07-11,231.39,232.39,225.77,227.57001,64710600
2024-07-12,228.92,232.64,228.67999,230.53999,53046500
2024-07-15,236.48,237.23,233.09,234.39999,62631300
2024-07-16,235.0,236.27,232.33,234.82001,43234300
2024-07-17,229.45,231.46001,226.64,228.88,57345900
2024-07-18,230.28,230.44,222.27,224.17999,66034600
2024-07-19,224.82001,226.8,223.28,224.31,49151500
2024-07-22,227.00999,227.78,223.09,223.96001,48201800
2024-07-23,224.37,226.94,222.67999,225.00999,39960300
2024-07-24,224.0,224.8,217.13,218.53999,61777600
2024-07-25,218.92999,220.85001,214.62,217.49001,51391200
2024-07-26,218.7,219.49001,216.00999,217.96001,41601300
2024-07-29,216.96001,219.3,215.75,218.24001,36311800
2024-07-30,219.19,220.33,216.12,218.8,41643800
2024-07-31,221.44,223.82001,220.63,222.08,50036300
2024-08-01,224.37,224.48,217.02,218.36,62501000
2024-08-02,219.14999,225.60001,217.71001,219.86,105568600
2024-08-05,199.09,213.5,196.0,209.27,119548600
2024-08-06,205.3,209.99001,201.07001,207.23,69660500
2024-08-07,206.89999,213.64,206.39,209.82001,63516400
2024-08-08,213.11,214.2,208.83,213.31,47161100
2024-08-09,212.10001,216.78,211.97,216.24001,42201600
2024-08-12,216.07001,219.50999,215.60001,217.53,38028100
2024-08-13,219.00999,221.89,219.00999,221.27,44155300
2024-08-14,220.57001,223.03,219.7,221.72,41960600
2024-08-15,224.60001,225.35001,222.75999,224.72,46414000
2024-08-16,223.92,226.83,223.64999,226.05,44340200
2024-08-19,225.72,225.99001,223.03999,225.89,40687800
2024-08-20,225.77,227.17,225.45,226.50999,30299000
2024-08-21,226.52,227.98,225.05,226.39999,34765500
2024-08-22,227.78999,228.34,223.89999,224.53,43695300
2024-08-23,225.66,228.22,224.33,226.84,38677300
2024-08-26,226.75999,227.28,223.89,227.17999,30602200
2024-08-27,226.0,228.85001,224.89,228.03,35934600
2024-08-28,227.92,229.86,225.67999,226.49001,38052200
2024-08-29,230.10001,232.92,228.88,229.78999,51906300
2024-08-30,230.19,230.39999,227.48,229.0,52990800
2024-09-03,228.55,229.0,221.17,222.77,50190600
2024-09-04,221.66,221.78,217.48,220.85001,43840200
2024-09-05,221.63,225.48,221.52,222.38,36615400
2024-09-06,223.95,225.24001,219.77,220.82001,48423000
2024-09-09,220.82001,221.27,216.71001,220.91,67180000
2024-09-10,218.92,221.48,216.73,220.11,51591000
2024-09-11,221.46001,223.09,217.89,222.66,44587100
2024-09-12,222.5,223.55,219.82001,222.77,37498200
2024-09-13,223.58,224.03999,221.91,222.5,36766600
2024-09-16,216.53999,217.22,213.92,216.32001,59357400
2024-09-17,215.75,216.89999,214.5,216.78999,45519300
2024-09-18,217.55,222.71001,217.53999,220.69,59894900
2024-09-19,224.99001,229.82001,224.63,228.87,66781300
2024-09-20,229.97,233.09,227.62,228.2,318679900
2024-09-23,227.34,229.45,225.81,226.47,54146000
2024-09-24,228.64999,229.35001,225.73,227.37,43556100
2024-09-25,224.92999,227.28999,224.02,226.37,42308700
2024-09-26,227.3,228.5,225.41,227.52,36636700
2024-09-27,228.46001,229.52,227.3,227.78999,34026000
2024-09-30,230.03999,233.0,229.64999,233.0,54541900
2024-10-01,229.52,229.64999,223.74001,226.21001,63285000
2024-10-02,225.14,226.80499,223.32001,225.67,34044160
2024-10-03,225.14,226.81,223.32001,225.67,34044200
2024-10-04,227.89999,228.0,224.13,226.8,37245100
2024-10-06,224.5,225.69,221.33,221.69,39505352
2024-10-07,224.5,225.69,221.33,221.69,39505400
2024-10-08,224.3,225.98,223.25,225.77,31855700
2024-10-09,225.23,229.75,224.83,229.53999,33591100
2024-10-10,227.78,229.5,227.17,229.03999,28183500
2024-10-11,229.3,229.41,227.34,227.55,31759200
2024-10-14,228.7,231.73,228.60001,231.3,39882100
2024-10-15,233.61,237.49001,232.37,233.85001,64751400
2024-10-16,231.60001,232.12,229.84,231.78,34082200
2024-10-17,233.42999,233.85001,230.52,232.14999,32993800
2024-10-18,236.17999,236.17999,234.00999,235.0,46431500
2024-10-21,234.45,236.85001,234.45,236.48,36254500
2024-10-22,233.89,236.22,232.60001,235.86,38846600
2024-10-23,234.08,235.14,227.75999,230.75999,52287000
2024-10-24,229.98,230.82001,228.41,230.57001,31109500
2024-10-25,229.74001,233.22,229.57001,231.41,38802300
2024-10-28,233.32001,234.73,232.55,233.39999,36087100
2024-10-29,233.10001,234.33,232.32001,233.67,35417200
2024-10-30,232.61,233.47,229.55,230.10001,46951400
2024-10-31,229.24,229.81,226.79,226.79,798669
